date,category,grade,send,attempts,name
2019-08-06,bouldering,V1,on-site,1,warmup v1 8-6
2019-08-06,bouldering,V0,on-site,1,warmup v0 8-6
2019-08-06,bouldering,V1,on-site,1,warmup v1 2 8-6
2019-08-06,bouldering,V2,on-site,1,warmup v2 8-6
2019-08-06,bouldering,V3,on-site,1,warmup v3 8-6
2019-08-06,bouldering,V3,no,2,Black Reacher
2019-08-06,bouldering,V2,yes,2,White Flag
2019-08-06,bouldering,V2,yes,1,white flag repeat 8-6
2019-08-06,bouldering,V3,no,7,Black Reacher
2019-08-08,bouldering,V1,on-site,1,warmup v1 8-8
2019-08-08,bouldering,V1,on-site,1,warmup v1 2 8-8
2019-08-08,bouldering,V2,on-site,1,warmup v2 8-8
2019-08-08,bouldering,V2,on-site,1,warmup v2 8-8
2019-08-08,bouldering,V2,on-site,1,warmup v2 8-8
2019-08-08,bouldering,V3,on-site,1,warmup v3 8-8
2019-08-08,bouldering,V4,no,11,Green cave traverse
2019-08-11,bouldering,V0,on-site,1,warmup v0 8-11
2019-08-11,bouldering,VB,on-site,1,warmup vb 8-11
2019-08-11,bouldering,V1,on-site,1,warmup v1 8-11
2019-08-11,bouldering,V2,on-site,1,warmup v2 8-11
2019-08-11,bouldering,V2,on-site,1,warmup v2 8-11
2019-08-11,bouldering,V4,yes,2,Green cave traverse
2019-08-11,bouldering,V3,no,8,White cave jug haul
2019-08-14,bouldering,V3,yes,4,Green crimpy V3
2019-08-14,bouldering,V4,no,2,Orange blocky V4
2019-08-18,bouldering,VB,on-site,1,warmup vb 8-18
2019-08-18,bouldering,V1,on-site,1,warmup v1 8-18
2019-08-18,bouldering,V1,on-site,1,warmup v1 8-18
2019-08-18,bouldering,V1,repeat,1,warmup v1 8-18
2019-08-18,bouldering,V2,on-site,1,warmup v2 8-18
2019-08-18,bouldering,V2,on-site,1,warmup slopey orange v2 8-18
2019-08-18,bouldering,V2,repeat,1,slopey orange v2 repeat 8-18
2019-08-18,bouldering,V3,yes,3,crimpy v3 8-18
2019-08-18,bouldering,V5,yes,3,super soft pink slab v5 8-18
2019-08-18,bouldering,V3,yes,3,Purple back-step v3 8-18
2019-08-18,bouldering,V3,yes,1,purble back-step v3 repeat 1 8-18
2019-08-18,bouldering,V3,yes,1,purble back-step v3 repeat 2 8-18
2019-08-18,bouldering,V3,yes,10,Black Reacher
2019-08-20,bouldering,V3,yes,5,White V3 pull-on start
2019-08-22,bouldering,V3,yes,4,Orange V3 blocky arete
2019-08-27,bouldering,V2,on-site,1,warmup v2 8-27
2019-08-27,bouldering,V4,no,4,Black V4 overhanging to pocket transition
2019-08-29,top rope,5.9,on-site,1,warmup 5.9 8-29
2019-08-29,top rope,5.10a,on-site,1,warmup 5.10 8-29
2019-08-29,top rope,5.10b,on-site,1,5.10b 8-29
